"Region","State"
"North","CT"
"North","DE"
"North","ME"
"North","MD"
"North","MA"
"North","NH"
"North","NJ"
"North","NY"
"North","PA"
"North","RI"
"North","VT"
"South","AL"
"South","AR"
"South","FL"
"South","GA"
"South","KY"
"South","LA"
"South","MS"
"South","NC"
"South","OK"
"South","SC"
"South","TN"
"South","TX"
"South","VA"
"South","WV"
"Midwest","IL"
"Midwest","IN"
"Midwest","IA"
"Midwest","KS"
"Midwest","MI"
"Midwest","MN"
"Midwest","MO"
"Midwest","NE"
"Midwest","ND"
"Midwest","OH"
"Midwest","SD"
"Midwest","WI"
"West","AK"
"West","AZ"
"West","CA"
"West","CO"
"West","HI"
"West","ID"
"West","MT"
"West","NV"
"West","NM"
"West","OR"
"West","UT"
"West","WA"
"West","WY"
